,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,new_or_old,parking,furnished_status,lift,type_of_building
475,44900000,1820,19.140335,72.86436198,3,3,2,1,0,2,-1,2,1
476,22500000,850,19.100385665893555,72.8504638671875,2,2,0,1,0,0,0,0,1
478,34000000,1650,19.1547839,72.8540607,3,4,2,1,0,2,-1,2,1
479,35000000,1050,19.07072639465332,72.83612823486328,2,2,0,1,0,0,0,0,1
480,20000000,1070,19.1142547770137,72.90212,2,2,2,1,0,2,-1,2,1
481,16500000,635,19.173613,72.872352,2,2,0,-1,1,0,0,0,1
482,19000000,1000,19.032798767089844,72.89635467529297,2,2,0,1,1,0,0,0,1
485,25000000,1700,19.18023681640625,72.85541534423828,3,3,1,1,0,1,1,1,1
488,12000000,732,19.255380630493164,72.85381317138672,2,2,2,1,0,2,1,2,1
490,22000000,1260,19.191842,72.83458123,2,3,0,-1,1,0,0,0,1
493,15500000,1205,19.202228,72.815271,2,2,0,1,0,0,-1,0,1
495,37500000,1300,19.100385,72.850466,3,3,0,1,0,0,0,0,1
496,21000000,840,19.0732695,72.8627475,2,2,1,1,0,1,-1,1,1
497,25000000,1400,19.13844,72.812187,3,3,0,1,0,0,-1,0,1
498,12500000,890,19.154659271240234,72.9466552734375,2,2,1,1,0,1,0,1,1
499,21500000,750,19.10456085205078,72.84928894042969,2,2,0,1,0,0,0,0,1
500,26400000,1330,19.210841,72.8755987441594,3,3,1,1,0,1,-1,1,1
501,33000000,1700,19.1393186282774,72.83739037336471,4,4,0,1,0,0,-1,0,1
503,17500000,661,19.1047312,72.91713109999999,2,2,2,-1,1,2,2,2,1
505,14500000,780,19.256099,72.852924,2,2,0,1,0,0,0,0,1
509,16000000,858,19.0219072709714,72.8685268353121,2,2,0,1,0,0,-1,0,1
510,46000000,1200,18.9963055,72.8253969,2,2,0,1,0,0,-1,0,1
512,40000000,1200,19.070726,72.836127,2,3,2,1,0,2,-1,2,1
